file_id,filename,file_size_kb,file_size_mb,slide_count,word_count,avg_words_per_slide,file_extension
441,NOWWZ3NAAWO4BPKCKSZN5NTAO4LKHNE6.ppt,776.0,0.76,9,405,45.0,.ppt
442,NQFHTH3TNHGQATINDHQAU46T4KBAHIEU.ppt,1898.0,1.85,15,975,65.0,.ppt
443,NREXBUZF6POKVO5BGDN27TCCIGMWMNHT.pps,2514.0,2.46,20,1300,65.0,.pps
444,NRT7TJXIC4JZ6C34GWURNWQ7Y6KJKTQN.ppt,458.5,0.45,5,225,45.0,.ppt
445,NVOFAODLQ44HDY6LGVYTRES45ODZORBT.ppt,13890.5,13.56,69,6210,90.0,.ppt
446,NXPWY77B4XJ7X5QTJQS27DQMRD2CDUGG.ppt,16.0,0.02,1,20,20.0,.ppt
447,NYFHB7NFCTYMXHDZ52KQR3ELINM67YR4.ppt,5357.5,5.23,26,2340,90.0,.ppt
448,NYIBJYS3SX6WRODSKKHYADUUDL23NWLC.ppt,80.0,0.08,2,40,20.0,.ppt
449,NZIPQSCSXY3RTVRV47KDU67VS5OE2527.ppt,2963.5,2.89,24,1560,65.0,.ppt
450,NZPSYVCAIUJQKKU36ATGFSKUYYYZBRHI.ppt,197.5,0.19,6,120,20.0,.ppt
451,O2GDYOKDVHQ33SZATNRSENVY6U66CVWK.ppt,7511.5,7.34,37,3330,90.0,.ppt
452,O3BJ4RYJL3WSNX2MMEKIKOCWIYPSMBPC.ppt,513.5,0.5,6,270,45.0,.ppt
453,O46SLJDB3Q5P3HDHE6MCNPEHWJMODI5I.ppt,1052.5,1.03,8,520,65.0,.ppt
454,O4POW6WMZ2HSCA2SPCPDIMLA2BH37ROI.ppt,966.0,0.94,8,520,65.0,.ppt
455,OBXODVYLR7DRDVAHKLTZHPSLYCK3IRS7.ppt,1140.5,1.11,9,585,65.0,.ppt
456,OCP2A37YZOIPFPM3YFWP5CV3MRGQ5YEL.pptx,185.2021484375,0.18,6,216,36.0,.pptx
457,ODXFZ6LH52GNMZU5G7HDB7IX3TROZR45.ppt,933.0,0.91,11,495,45.0,.ppt
458,OE3I3Z3GRK55LJN7SUWIRKULTWMOAERS.ppt,78.0,0.08,2,40,20.0,.ppt
459,OE6R7LVRWLKTP5V4ASM2BIX5LIU5AHSD.ppt,471.5,0.46,5,225,45.0,.ppt
460,OEMQB4NQJSKBGZLQTYJKVP46KN7LOL4Z.ppt,61.017578125,0.06,2,40,20.0,.ppt
461,OF6MFIJAWHV3YIVAKNFDSLOHG45BKEQI.ppt,223.5,0.22,7,140,20.0,.ppt
462,OL2O7OX5B2CNFNWCB722RSQDVN7U5ZFN.ppsx,10236.5830078125,10.0,102,4590,45.0,.ppsx
463,OLUKHFUUPBPWF3EVTMRODK5SDPMDJ22U.ppt,2371.5,2.32,19,1235,65.0,.ppt
464,OP5QQXMQW7QOH3UYHK6VJE7BJ7AELNVM.ppt,1626.5,1.59,13,845,65.0,.ppt
465,OPZRMJJ6HS3Y2Z7JTBUBU357D4SF5KGI.ppt,4193.5,4.1,20,1800,90.0,.ppt
466,OSESBZQ42F72AP6HYH7KE4MMALTXLM66.ppt,1074.0,1.05,8,520,65.0,.ppt
467,OSQLGPTQLXMFHE2JFRCNRZGDMA5SBR5C.ppt,932.5,0.91,11,495,45.0,.ppt
468,OTKO3AHCLEL6WZAQAW3KGXNINSGTDZKM.ppt,72355.25,70.66,361,32490,90.0,.ppt
469,OTOPKKKP54LNKPJ4GQVENZHAZXUJW3GE.ppt,6946.5,6.78,34,3060,90.0,.ppt
470,OUVGH32IVKEUZGTQ7OSNKKXFB5BPIVOT.ppt,229.5,0.22,7,140,20.0,.ppt
471,OVTKHZHRYZP7YL2GGRSC57VUYDRYJH2G.ppt,380.5,0.37,4,180,45.0,.ppt
472,OZYY743QA32XM7GZLJYOGPIATN7RZIEX.ppt,1051.5,1.03,8,520,65.0,.ppt
473,P2SY3PMTE3NRIHGWCCW6MJSA2D3C4NOW.ppt,3435.0,3.35,17,1530,90.0,.ppt
474,P3723XOUDUAC2GVNGDQY2NEJDR2BJXAR.ppt,366.0,0.36,4,180,45.0,.ppt
475,P3V7SYN6DD5SHP2LL2WGQ5HM6MUYP6EE.ppt,534.5,0.52,6,270,45.0,.ppt
476,P52XT7FQVU3HAZFKODSHMPEJQEZLV35T.ppt,48701.0,47.56,243,21870,90.0,.ppt
477,P5RZSMRYMZOOKYC27MXBPTPXAZYRGGTW.ppt,339.0,0.33,4,180,45.0,.ppt
478,P6QV6ZHUYFQTYIU7OM2RRK6A2CUB6GJS.ppt,1650.0,1.61,13,845,65.0,.ppt
479,P6YNSUAX5XX3ZN6QAR3WYFUCUIO7QCHC.ppt,2357.0,2.3,19,1235,65.0,.ppt
480,P75TN5WKUTHZUD5TKJJEIN2CTJYBF4SV.ppt,1229.0,1.2,10,650,65.0,.ppt
481,PASRENDEHQURXKYRMXJNQOK44A7UMSZV.ppt,2500.5,2.44,20,1300,65.0,.ppt
482,PBUT4OH6E3BCA6T2UGFR5WL6CII7SFOA.ppt,440.0,0.43,5,225,45.0,.ppt
483,PGAL4GRCGXARNDYVWDEORSEQ3XFWUPMV.ppt,30.5,0.03,1,20,20.0,.ppt
484,PJKUHQO2KQ7L4LPB5MX56ZNH3NWAQNRQ.ppt,46.5,0.05,1,20,20.0,.ppt
485,PK7KHQFBWWP3GNV2JILTAZAXYRHEOQP3.ppt,1074.0,1.05,8,520,65.0,.ppt
486,PKSKZEHVYUSJLH562T5DJPI3SA2POJ24.ppt,357.34765625,0.35,4,180,45.0,.ppt
487,PL4IQ6ALZVQR3WAF3AOCCOOB6J2LSLSZ.ppt,6737.0,6.58,33,2970,90.0,.ppt
488,PLASEZQRIU6TP4K74WKC4WKTJSKO4EYQ.ppt,255.0,0.25,8,160,20.0,.ppt
489,PMHPIKKMK24WBJUABZSPTJE552TKPMGP.ppt,3169.5,3.1,15,1350,90.0,.ppt
490,PMQC664YYGB46IAXQUK6JCW4YKU7KCA3.ppt,15893.5,15.52,79,7110,90.0,.ppt
491,PPPQ5TSU67HHF4NDSF3EEZI5FEV2UXEX.ppt,1644.5,1.61,13,845,65.0,.ppt
492,PR7TDPAVNCCDAVLZ7GRXX4Q2OZCYITDD.ppt,1191.0,1.16,9,585,65.0,.ppt
493,PUGQ7GLCDNVF2ZIYVU5WBGZ6S5XTVFY3.ppt,1774.0,1.73,14,910,65.0,.ppt
494,PWU7OZEEMXBBLMVIV3D3GMBYEXNPQWJS.ppt,1095.5,1.07,9,585,65.0,.ppt
495,PXCTKC4BN6UBISZLRT7IBPXYWEZJ24K2.ppt,611.5,0.6,7,315,45.0,.ppt
496,PXYV5KLJ3KPW6FZ5YG7H4JTITUIMMEZQ.ppt,3178.0,3.1,15,1350,90.0,.ppt
497,PZEFNNWB4KAJOWY2LJU5EUTECK345QD6.ppt,821.0,0.8,10,450,45.0,.ppt
498,PZUZYMGQTDNUF2BDFNZUX4H3FO6R2KY7.ppt,1023.6923828125,1.0,8,520,65.0,.ppt
499,Q3UNJLTL6ZT26O2NUHY7VMZL2KZT5HVS.ppt,4970.5,4.85,24,2160,90.0,.ppt
500,Q6F262KMMGHSX6Q5GRRD4PWQFK352O7C.ppt,462.5,0.45,5,225,45.0,.ppt
501,Q6PLDDFHO2GTOYAGXL6OEFPYZ2Q7QTAL.ppt,3059.0,2.99,25,1625,65.0,.ppt
502,QAM362PE5WYBMKIPRPGFCIQ7IZK4V67S.ppt,2913.0,2.84,24,1560,65.0,.ppt
503,QDKTFTBEPPCXJL3THALQJDGYNDAJB73F.ppt,718.5,0.7,8,360,45.0,.ppt
504,QDYIERWKFGI6FL37URO5NAB3TYLIGCAF.ppt,1268.5,1.24,10,650,65.0,.ppt
505,QJDDKYKSQZYPR7BQJORF5GQH3VZYVKV2.ppt,1346.0,1.31,11,715,65.0,.ppt
506,QKO66KTYCFXJUAQH47PAIZON7GYHKXOL.ppt,3197.0,3.12,15,1350,90.0,.ppt
507,QMEKDOTD4LWKW36DCRWNV455VJDMLVAU.ppt,4554.125,4.45,22,1980,90.0,.ppt
508,QMLYLJIKWIDKC65EFUCTFEE242HLXZH2.ppt,112.5,0.11,3,60,20.0,.ppt
509,QO2AS5SKY3LVGNDCRHC4VLLUNS4PR6GP.ppt,9145.5,8.93,45,4050,90.0,.ppt
510,QQJHEZ47XB3A2NX73C5NLGYOND22RMZZ.ppt,106.5,0.1,3,60,20.0,.ppt
511,QQOGSVMK4B5OCTF562NYEJEDIDGKDRWX.ppt,28692.5,28.02,143,12870,90.0,.ppt
512,QTVUKCQGCVWXZQD64P7CUVHLIH4JHRPN.ppt,494.0,0.48,6,270,45.0,.ppt
513,QTZSVXQDRZO7WTLOAJH35XHAZ25RULO4.ppt,54.5,0.05,1,20,20.0,.ppt
514,QYFNGXABKOGBU4OP7RNCH32PWNJ5M4FD.ppt,823.5,0.8,10,450,45.0,.ppt
515,QYFNJ7IBYXMXFRWXBGJT23X2WJPEORO6.ppt,14029.5,13.7,70,6300,90.0,.ppt
516,QZKOK2PKGNHCUYNYTNUYV6RTL5TRXX76.ppt,392.0,0.38,4,180,45.0,.ppt
517,QZWS3Z7LI5XQZWGM7DNSURLW7MWTMECD.ppt,359.5,0.35,4,180,45.0,.ppt
518,R24KLSE7EC7LFVAIFK6MOV2P4E7EHIBL.ppt,1421.0,1.39,11,715,65.0,.ppt
519,R4SU5F6GGL4LNJTGPPGGWRS546QPSI5H.ppt,5981.0,5.84,29,2610,90.0,.ppt
520,R76PUEDX55HEJWZZLYEZCSF4TKLB2HTU.ppt,341.0,0.33,4,180,45.0,.ppt
521,RCWUEOUGDIYXBFCRHJEJ4VO6GKGRXCJE.ppt,689.0,0.67,8,360,45.0,.ppt
522,RG5LCBTRKRBCRVN57ZZPGN4J4COCTF5Y.ppt,432.5,0.42,5,225,45.0,.ppt
523,RNJPC5IWECX5EPEV6S3GIMFWM2LCTVT4.ppt,3720.5,3.63,18,1620,90.0,.ppt
524,RPCOCPOR46X4KS7AQ7CEOPYYVI54GJ3G.ppt,19660.0,19.2,98,8820,90.0,.ppt
525,RRRX6FYWJZT6QEDFSFYEM6GXDTJ6H4Q7.ppt,729.5,0.71,9,405,45.0,.ppt
526,RSKLPQWUYHJBZEAEUEV4366A57PVTTSK.ppt,667.0,0.65,8,360,45.0,.ppt
527,RVFVTUJ5SJQBKRGHSO52THHIRS7KTD4G.ppt,4360.0,4.26,21,1890,90.0,.ppt
528,RWP5SPWWM3U2HCNSVHAEUCXFKK62EEQA.ppt,5496.5,5.37,27,2430,90.0,.ppt
529,RZOZXZCCQIUQAOO4JJJOTEIDQKHLV5VG.ppt,15051.5,14.7,75,6750,90.0,.ppt
530,S26LTSW6NKXP6KVOH2M5GZMJK6VPJMGB.ppt,813.0,0.79,10,450,45.0,.ppt
531,S4AXSXFOFL2EJKIAFNQE6UT3QDG5WIMJ.ppt,27.0,0.03,1,20,20.0,.ppt
532,S5BCQ7JZ2DUAKJ75QMGWBKRGUI7RBUIB.ppt,2613.5,2.55,21,1365,65.0,.ppt
533,S5INVS5SMMW4J2WFFFJ73VVTAJBXQRPX.ppt,6225.0,6.08,31,2790,90.0,.ppt
534,S5VJANJ6SQXGB3ALYBQ6R73SEPDNZKCX.ppt,447.0,0.44,5,225,45.0,.ppt
535,S7F5TLMIISGYBTHRZL4X6KF2RD7L6F54.ppt,104.0,0.1,3,60,20.0,.ppt
536,SCREYUYFEAZJ5TVT54ZFNB6E4IUHJKMR.ppt,951.0,0.93,7,455,65.0,.ppt
537,SD65NCJJYOUGKZJK5QIZDPR6FNLFSUUF.ppt,25113.0,24.52,125,11250,90.0,.ppt
538,SFJYFBZWXE5C5MR5OXLQMHRZHAE3D43N.ppt,87.5,0.09,2,40,20.0,.ppt
539,SHNAQSROKJ76FUILIPGVF4NWLG3YNFGK.ppt,758.5,0.74,9,405,45.0,.ppt
540,SIDGNLU6SDF46PE4ZUFVJM54QOPACWTO.ppt,10299.0,10.06,51,4590,90.0,.ppt
541,SMRPIU7AEPB5Q2RF2KR267VUPH35JBJP.ppt,1947.0,1.9,16,1040,65.0,.ppt
542,SNNRQD4ENWFOOH6FMATBRW77KNMOJEZ3.pps,519.5,0.51,6,270,45.0,.pps
543,SNY45RDSVWTFVDQJ4QUE3DT3SZG2TN7A.ppt,220.5,0.22,7,140,20.0,.ppt
544,SOH43KZ26MREJB6QI2UPSMBR6TWQUF4Y.ppt,81.5,0.08,2,40,20.0,.ppt
545,SQKW3BZ2TFOLTAR2DQACCE6B5WFSLGPH.ppt,79.0,0.08,2,40,20.0,.ppt
546,SQPU5TWWYASQTXQV45FDW33ZUBKCDPM6.ppt,97121.5,94.85,485,43650,90.0,.ppt
547,SQRFD3INGE2YRQVVKKE5CV4QSWMSJ2CS.ppt,88.5,0.09,2,40,20.0,.ppt
548,SSIC6ZSPIV33U33B6CP7XAPBNBZDSLEC.ppt,15508.0,15.14,77,6930,90.0,.ppt
549,ST77G4DSKF47Z7IPJGMQMSWAQJCH5ZKU.ppt,314.5,0.31,3,135,45.0,.ppt
550,SVW232FU37IBWM66WP53H3565XVDUEZI.ppt,1560.0,1.52,13,845,65.0,.ppt
551,SW4CVCZYUL4ZOWOT4IFA7NEGY2AOR3Q7.ppt,871.0,0.85,10,450,45.0,.ppt
552,SZZHQRRH5DQUDEWVAL3LLJZRHWHBLYQH.ppt,42.5,0.04,1,20,20.0,.ppt
553,T37V6KNVT7T6XJCJKNZLVMPAFATOYGNO.ppt,319.0,0.31,3,135,45.0,.ppt
554,T4GIMAP4HHX467ZMKAMJS6YKG3AUUQ2L.ppt,3672.0,3.59,18,1620,90.0,.ppt
555,T5QTXRR5F7N5SYI7RF3SYW73WW6BQBNQ.ppt,13375.0,13.06,66,5940,90.0,.ppt
556,T6KU4VIYSVLBPXEGGTY26RSH2YED2WKU.ppt,7405.5,7.23,37,3330,90.0,.ppt
557,T7CBPHB5CDGYBFDLHD3C7EMSJ6A23BNY.ppt,2798.5,2.73,23,1495,65.0,.ppt
558,TBQ5HCQLAUDGBYOAP7KZL6AWUQC5OQ4K.ppt,14908.0,14.56,74,6660,90.0,.ppt
559,TEDIZWBWBNEEMEG5IAEKVW5DHXJ7RPKI.ppt,1064.0,1.04,8,520,65.0,.ppt
560,TEIQWDZK3RPDWCNBNZFXKBTOXO3U2EJZ.ppt,70.5,0.07,2,40,20.0,.ppt
561,TF2F4DL7QOFULLRRTB73E74ZBKQZNEMC.ppt,768.0,0.75,9,405,45.0,.ppt
562,TFNGH4RB2CTHVON6I3W4DCQ6Q24RCHWS.ppt,698.0,0.68,8,360,45.0,.ppt
563,THXIJGHFJSACQEZAX4JXKXTBW7YT2CG3.ppt,8726.0,8.52,43,3870,90.0,.ppt
564,TIW3AL2PJKU5EPV4BHZ72FMOUXWXNQSZ.ppt,19.3291015625,0.02,1,20,20.0,.ppt
565,TJBMFYN5GHYTIU24JUFWNQCOAGSOOEFN.ppt,4777.5,4.67,23,2070,90.0,.ppt
566,TKBELEZAEWPLQIVS3XIJLSDHR2U6SQCT.ppt,5636.0,5.5,28,2520,90.0,.ppt
567,TNCJGFSI4VHDJRPFDFCJFH2VM3PGCYE7.ppt,431.0,0.42,5,225,45.0,.ppt
568,TNXC2TKXGFFQDVGNMEDF6SCTG3TNEBJ7.ppt,318.0,0.31,3,135,45.0,.ppt
569,TOB2ZZ6RG4HFOYSZSYREX2QDY2L6V7WJ.ppt,1023.7373046875,1.0,8,520,65.0,.ppt
570,TOZ4B6IVHIBFDLER2A77VQSSD7LS7UY7.ppt,8180.5,7.99,40,3600,90.0,.ppt
571,TQ4NWCURHNB7FGIK4BZIOSP5LILC4RXP.ppt,224.0,0.22,7,140,20.0,.ppt
572,TS44UWNTR3EQY4YHAA7YOB43ANQ4R636.ppt,4001.0,3.91,20,1800,90.0,.ppt
573,TSICV2ECH5G4YPVHLFATKOK2TRVIPJSN.ppt,1736.0,1.7,14,910,65.0,.ppt
574,TUEG2NTHKUOHUSDMQMI23QZQGOV7ZGND.ppt,4335.0,4.23,21,1890,90.0,.ppt
